County,Total Groups Tallied: Estimate,Total Groups Tallied: Margin of Error,East Asian: Estimate,East Asian: Margin of Error,"Chinese, except Taiwanese Estimate","Chinese, except Taiwanese Margin of Error",Hmong Estimate,Hmong Margin of Error,Japanese Estimate,Japanese Margin of Error,Korean Estimate,Korean Margin of Error,Mongolian Estimate,Mongolian Margin of Error,Okinawan Estimate,Okinawan Margin of Error,Taiwanese Estimate,Taiwanese Margin of Error,Other East Asian Estimate,Other East Asian Margin of Error,Southeast Asian: Estimate,Southeast Asian: Margin of Error,Burmese Estimate,Burmese Margin of Error,Cambodian Estimate,Cambodian Margin of Error,Filipino Estimate,Filipino Margin of Error,Indonesian Estimate,Indonesian Margin of Error,Laotian Estimate,Laotian Margin of Error,Malaysian Estimate,Malaysian Margin of Error,Mien Estimate,Mien Margin of Error,Singaporean Estimate,Singaporean Margin of Error,Thai Estimate,Thai Margin of Error,Vietnamese Estimate,Vietnamese Margin of Error,Other Southeast Asian Estimate,Other Southeast Asian Margin of Error
"Barber County, Kansas",39.0,26,,,0.0,11,0.0,11,0.0,11,5.0,10,0.0,11,0.0,11,0.0,11,0.0,11,,,0.0,11,13.0,14,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,21.0,26,0.0,11
"Barbour County, Alabama",173.0,32,,,47.0,34,0.0,25,16.0,16,48.0,28,0.0,25,0.0,25,0.0,25,0.0,25,,,0.0,25,0.0,25,7.0,10,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,5.0,10,0.0,25
"Barbour County, West Virginia",110.0,85,,,0.0,20,0.0,20,30.0,60,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,77.0,68,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,3.0,8,0.0,20,0.0,20
"Barceloneta Municipio, Puerto Rico",306.0,215,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Barnes County, North Dakota",159.0,5,,,0.0,16,0.0,16,13.0,16,10.0,18,0.0,16,1.0,3,0.0,16,0.0,16,,,13.0,26,0.0,16,103.0,41,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
"Barnstable County, Massachusetts",5061.0,242,,,1132.0,402,0.0,32,491.0,207,193.0,125,0.0,32,0.0,32,331.0,348,0.0,32,,,0.0,32,86.0,168,578.0,266,85.0,78,13.0,26,10.0,22,0.0,32,10.0,22,355.0,261,208.0,167,0.0,32
"Barnwell County, South Carolina",223.0,26,,,59.0,83,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,,,0.0,26,0.0,26,30.0,44,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26
"Barranquitas Municipio, Puerto Rico",0.0,28,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Barren County, Kentucky",432.0,48,,,24.0,40,0.0,27,138.0,111,87.0,89,0.0,27,0.0,27,0.0,27,0.0,27,,,0.0,27,0.0,27,149.0,91,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,11.0,19,0.0,27
"Barron County, Wisconsin",454.0,12,,,19.0,18,33.0,28,46.0,28,38.0,22,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,57.0,43,110.0,49,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,59.0,54,0.0,21,0.0,21
